id	supported by	compatible with	conflicts with	is trivial in
mrcaott165958ott3623482		node Tn8987758 for https://tree.opentreeoflife.org/curator/study/view/ot_591/?tab=trees&tree=Tr53870		
mrcaott165958ott3623482	node node13 for https://tree.opentreeoflife.org/curator/study/view/ot_589/?tab=trees&tree=tree1			
mrcaott179932ott290433	node Tn13587440 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott184768ott228101	node Tn13587370 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott194065ott297548	node Tn13587520 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott203412ott475461				node ott582523 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott203412ott475461	node node13 for https://tree.opentreeoflife.org/curator/study/view/ot_590/?tab=trees&tree=tree1			
mrcaott205351ott244030				node ott1090792 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott205351ott244030	node node16 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott205351ott343324	node node52 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott205351ott3624062	node node121 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott205351ott3624151	node node113 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott205351ott392179	node node33 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott205351ott502078	node Tn13587449 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott215094ott531347	node Tn13587456 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott215099ott216459	node Tn8979948 for https://tree.opentreeoflife.org/curator/study/view/ot_595/?tab=trees&tree=Tr53782			
mrcaott215102ott922059	node Tn13587365 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott215103ott3623949		node Tn13587500 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
mrcaott215103ott3623949	node node176 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott215103ott3623952		node Tn13587500 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
mrcaott215103ott3623952	node node178 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott215103ott3623957		node Tn13587500 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
mrcaott215103ott3623957	node node174 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott215103ott3623959		node Tn13587500 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
mrcaott215103ott3623959	node node182 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott215103ott3623965		node Tn13587500 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
mrcaott215103ott3623965	node node180 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott215103ott650090		node Tn13587500 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
mrcaott215103ott650090	node node184 for https://tree.opentreeoflife.org/curator/study/view/ot_575/?tab=trees&tree=tree3			
mrcaott216459ott3624220	node Tn8979941 for https://tree.opentreeoflife.org/curator/study/view/ot_595/?tab=trees&tree=Tr53782			
mrcaott22071ott73902	node node22 for https://tree.opentreeoflife.org/curator/study/view/ot_633/?tab=trees&tree=tree2			
mrcaott2356ott119574			node node13 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1	
mrcaott2356ott119574	node Tn13587451 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott2356ott23770			node node13 for https://tree.opentreeoflife.org/curator/study/view/ot_631/?tab=trees&tree=tree1	
mrcaott2356ott23770	node Tn13587310 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott23767ott203412		node Tn13587521 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
mrcaott23767ott203412	node node12 for https://tree.opentreeoflife.org/curator/study/view/ot_590/?tab=trees&tree=tree1			
mrcaott23767ott444259	node Tn13587474 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott23767ott444259	node node16 for https://tree.opentreeoflife.org/curator/study/view/ot_590/?tab=trees&tree=tree1			
mrcaott23767ott55613		node Tn13587521 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777		
mrcaott23767ott55613	node node9 for https://tree.opentreeoflife.org/curator/study/view/ot_590/?tab=trees&tree=tree1			
mrcaott23770ott26922	node Tn13587366 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott23770ott45425	node Tn13587481 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott23770ott61502	node Tn13587492 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott244030ott263395				node ott1090792 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott244030ott263395	node node21 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott244030ott497013				node ott1090792 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777
mrcaott244030ott497013	node node19 for https://tree.opentreeoflife.org/curator/study/view/ot_594/?tab=trees&tree=tree1			
mrcaott261879ott341161	node Tn8968575 for https://tree.opentreeoflife.org/curator/study/view/ot_625/?tab=trees&tree=Tr53737			
mrcaott261879ott516685	node Tn8968609 for https://tree.opentreeoflife.org/curator/study/view/ot_625/?tab=trees&tree=Tr53737			
mrcaott261879ott671069	node Tn8968600 for https://tree.opentreeoflife.org/curator/study/view/ot_625/?tab=trees&tree=Tr53737			
mrcaott261879ott671072	node Tn8968595 for https://tree.opentreeoflife.org/curator/study/view/ot_625/?tab=trees&tree=Tr53737			
mrcaott267798ott267803	node Tn13587429 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
mrcaott26923ott101864			node node22 for https://tree.opentreeoflife.org/curator/study/view/ot_627/?tab=trees&tree=tree1	
mrcaott26923ott101864			node node24 for https://tree.opentreeoflife.org/curator/study/view/ot_627/?tab=trees&tree=tree1	
mrcaott26923ott101864			node node49 for https://tree.opentreeoflife.org/curator/study/view/ot_627/?tab=trees&tree=tree1	
mrcaott26923ott101864	node Tn13587461 for https://tree.opentreeoflife.org/curator/study/view/ot_526/?tab=trees&tree=Tr91777			
