id	supported by	compatible with	conflicts with	is trivial in
ott5048921	node ott5048921 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott728430	node ott1067616 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1
ott5048905	node ott5048905 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048905	node ott5048905 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott5048905	node ott5048905 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott5048904	node ott5048904 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048904	node ott5048904 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott5048904	node ott5048904 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott4606640	node ott4606641 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott4606640	node ott4606641 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott4606640	node ott4606641 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott915952	node ott915952 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott915952	node ott915952 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott915952	node ott915952 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott915952	node ott915952 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1
