id	supported by	compatible with	conflicts with	is trivial in
mrcaott152043ott2958165				node ott437066 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603
mrcaott152043ott2958165				node ott437066 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744
mrcaott152043ott2958165		node node1173900 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745		
mrcaott152043ott2958165	node Tn11887346 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459			
mrcaott152043ott2958179		node node1152853 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603		
mrcaott152043ott2958179		node node1173825 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744		
mrcaott152043ott2958179		node node1173898 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745		
mrcaott152043ott2958179		node node1175398 for https://tree.opentreeoflife.org/curator/study/view/pg_2918/?tab=trees&tree=tree6755		
mrcaott152043ott2958179	node Tn11887421 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459			
mrcaott152043ott437066				node ott437066 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459
mrcaott152043ott437066				node ott437066 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603
mrcaott152043ott437066				node ott437066 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744
mrcaott152043ott437066	node node1173902 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745			
mrcaott152043ott437066	node node1175401 for https://tree.opentreeoflife.org/curator/study/view/pg_2918/?tab=trees&tree=tree6755			
mrcaott160888ott191800	node Tn11887500 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459			
mrcaott160888ott191800	node node1152858 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603			
mrcaott160888ott191800	node node1173789 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744			
mrcaott160888ott191800	node node1173906 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745			
mrcaott160888ott191800	node node1175326 for https://tree.opentreeoflife.org/curator/study/view/pg_2918/?tab=trees&tree=tree6755			
mrcaott160888ott231050		node Tn11887429 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459		
mrcaott160888ott231050	node node1152884 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603			
mrcaott160888ott231050	node node1173791 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744			
mrcaott160888ott231050	node node1173935 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745			
mrcaott160888ott231050	node node1175352 for https://tree.opentreeoflife.org/curator/study/view/pg_2918/?tab=trees&tree=tree6755			
mrcaott160888ott313215		node Tn11887480 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459		
mrcaott160888ott313215		node node1152876 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603		
mrcaott160888ott313215		node node1173790 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744		
mrcaott160888ott313215		node node1173934 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745		
mrcaott160888ott313215	node node1175339 for https://tree.opentreeoflife.org/curator/study/view/pg_2918/?tab=trees&tree=tree6755			
mrcaott160888ott990040		node Tn11887480 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459		
mrcaott160888ott990040		node node1152876 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603		
mrcaott160888ott990040		node node1173790 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744		
mrcaott160888ott990040		node node1173934 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745		
mrcaott160888ott990040	node node1175337 for https://tree.opentreeoflife.org/curator/study/view/pg_2918/?tab=trees&tree=tree6755			
mrcaott165468ott220058				node ott165468 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603
mrcaott165468ott220058				node ott165468 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744
mrcaott165468ott220058		node node1174006 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745		
mrcaott165468ott220058		node node1174529 for https://tree.opentreeoflife.org/curator/study/view/pg_2919/?tab=trees&tree=tree6749		
mrcaott165468ott220058	node node1174674 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott165468ott312999				node ott165468 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603
mrcaott165468ott312999				node ott165468 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744
mrcaott165468ott312999			node node1174490 for https://tree.opentreeoflife.org/curator/study/view/pg_2919/?tab=trees&tree=tree6749	
mrcaott165468ott312999			node node1174528 for https://tree.opentreeoflife.org/curator/study/view/pg_2919/?tab=trees&tree=tree6749	
mrcaott165468ott312999			node node1174679 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott165468ott312999			node node1174683 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott165468ott312999			node node1174693 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott165468ott312999	node node1174004 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745			
mrcaott165468ott5745971				node ott165468 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603
mrcaott165468ott5745971				node ott165468 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744
mrcaott165468ott5745971		node node1174006 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745		
mrcaott165468ott5745971		node node1174529 for https://tree.opentreeoflife.org/curator/study/view/pg_2919/?tab=trees&tree=tree6749		
mrcaott165468ott5745971	node node1174676 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott167276ott741748	node node1152911 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603			
mrcaott167276ott741748	node node1173781 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744			
mrcaott167276ott741748	node node30 for https://tree.opentreeoflife.org/curator/study/view/ot_74/?tab=trees&tree=tree1			
mrcaott167276ott741748	node node8 for https://tree.opentreeoflife.org/curator/study/view/ot_71/?tab=trees&tree=tree1			
mrcaott167281ott218054	node node1152935 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603			
mrcaott167281ott218054	node node1173740 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744			
mrcaott167281ott472394	node node1152934 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603			
mrcaott167281ott472394	node node1173738 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744			
mrcaott167281ott472394	node node42 for https://tree.opentreeoflife.org/curator/study/view/ot_74/?tab=trees&tree=tree1			
mrcaott176864ott281090				node ott898717 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745
mrcaott176864ott281090			node node1174489 for https://tree.opentreeoflife.org/curator/study/view/pg_2919/?tab=trees&tree=tree6749	
mrcaott176864ott281090			node node1174490 for https://tree.opentreeoflife.org/curator/study/view/pg_2919/?tab=trees&tree=tree6749	
mrcaott176864ott281090	node node1174695 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott176864ott313000				node ott898717 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745
mrcaott176864ott313000	node node1174463 for https://tree.opentreeoflife.org/curator/study/view/pg_2919/?tab=trees&tree=tree6749			
mrcaott176864ott313000	node node1174701 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott182524ott2958166				node ott182524 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603
mrcaott182524ott2958166				node ott182524 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744
mrcaott182524ott2958166				node ott182524 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745
mrcaott182524ott2958166				node ott182524 for https://tree.opentreeoflife.org/curator/study/view/pg_2918/?tab=trees&tree=tree6755
mrcaott182524ott2958166	node Tn11887454 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459			
mrcaott191797ott191804				node ott2958481 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459
mrcaott191797ott191804	node node1152847 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603			
mrcaott191797ott191804	node node1173833 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744			
mrcaott191797ott191804	node node1173986 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745			
mrcaott191797ott191804	node node1174639 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751			
mrcaott191797ott631699				node ott2958481 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459
mrcaott191797ott631699				node ott631699 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603
mrcaott191797ott631699				node ott631699 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744
mrcaott191797ott631699			node node1174641 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott191797ott631699	node node1173990 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745			
mrcaott191800ott283984		node node1175386 for https://tree.opentreeoflife.org/curator/study/view/pg_2918/?tab=trees&tree=tree6755		
mrcaott191800ott283984	node Tn11887428 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459			
mrcaott191800ott283984	node node1152860 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603			
mrcaott191800ott283984	node node1173811 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744			
mrcaott191800ott283984	node node1173917 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745			
mrcaott191800ott313212			node node1175327 for https://tree.opentreeoflife.org/curator/study/view/pg_2918/?tab=trees&tree=tree6755	
mrcaott191800ott313212	node Tn11887427 for https://tree.opentreeoflife.org/curator/study/view/ot_615/?tab=trees&tree=Tr76459			
mrcaott191800ott313212	node node1152859 for https://tree.opentreeoflife.org/curator/study/view/pg_2842/?tab=trees&tree=tree6603			
mrcaott191800ott313212	node node1173803 for https://tree.opentreeoflife.org/curator/study/view/pg_2916/?tab=trees&tree=tree6744			
mrcaott191800ott313212	node node1173907 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745			
mrcaott206723ott220060			node node1174021 for https://tree.opentreeoflife.org/curator/study/view/pg_2917/?tab=trees&tree=tree6745	
mrcaott206723ott220060			node node1174728 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
mrcaott206723ott220060			node node1174732 for https://tree.opentreeoflife.org/curator/study/view/pg_2923/?tab=trees&tree=tree6751	
