id	supported by	compatible with	conflicts with	is trivial in
ott5048975	node ott5048975 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott5048975	node ott5048975 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048975	node ott5048975 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott5049009	node ott5049009 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott5049009	node ott5049009 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott5049009	node ott5049009 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott5049009	node ott5049009 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5049009	node ott5049009 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott5048889	node ott5048889 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1
ott5048889	node ott5048889 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048889	node ott5048889 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott4606618	node ott4606618 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott4606643	node ott4606643 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott4606635	node ott5048904 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1
ott4606635	node ott5048904 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott4606635	node ott5048904 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott4606635	node ott5048904 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott4606635	node ott5048904 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott728430	node ott3407775 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott728430	node ott3407775 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1
ott5048974	node ott5048974 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott5048974	node ott5048974 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott5048974	node ott5048974 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott5048891	node ott5048891 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1
ott5048891	node ott5048891 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048891	node ott5048891 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott5048905	node ott5048905 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott5048905	node ott5048905 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott5048905	node ott5048905 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048905	node ott5048905 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott5048904	node ott5048904 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1
ott5048904	node ott5048904 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott5048904	node ott5048904 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott5048904	node ott5048904 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott5048904	node ott5048904 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
ott5048903	node ott5048903 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1
ott5048903	node ott5048903 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1
ott915952	node ott915952 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1
ott915952	node ott915952 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
ott915952	node ott915952 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
ott915952	node ott915952 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
ott915952	node ott915952 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
