id	supported by	compatible with	conflicts with	is trivial in
mrcaott142446ott4606616	node node19 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1			
mrcaott142446ott4606616	node node36 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1			
mrcaott142446ott4606616	node node6 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1			
mrcaott264007ott5048904				node ott264007 for https://tree.opentreeoflife.org/curator/study/view/ot_601/?tab=trees&tree=tree1
mrcaott264007ott5048904				node ott264007 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1
mrcaott264007ott5048904				node ott5048904 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1
mrcaott264007ott5048904	node node23 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1			
mrcaott264007ott5048904	node node32 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2			
mrcaott264007ott5048904	node node7 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1			
mrcaott264007ott5048904	node node7 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1			
mrcaott264007ott915952				node ott264007 for https://tree.opentreeoflife.org/curator/study/view/ot_601/?tab=trees&tree=tree1
mrcaott264007ott915952				node ott5048904 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1
mrcaott264007ott915952	node node19 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1			
mrcaott264007ott915952	node node20 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2			
mrcaott264007ott915952	node node257 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1			
mrcaott264007ott915952	node node6 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1			
mrcaott264007ott915952	node node6 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1			
mrcaott4606641ott5048974				node ott5049009 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1
mrcaott4606641ott5048974				node ott5049009 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2
mrcaott4606641ott5048974	node node16 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1			
mrcaott4606641ott5048974	node node23 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1			
mrcaott4606641ott5048975	node node12 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1			
mrcaott4606641ott5048975	node node22 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1			
mrcaott4606641ott5048975	node node39 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1			
mrcaott4606641ott5048975	node node8 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2			
mrcaott5048889ott5048903				node ott5048894 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1
mrcaott5048889ott5048903		node node13 for https://tree.opentreeoflife.org/curator/study/view/ot_636/?tab=trees&tree=tree1		
mrcaott5048889ott5048903	node node26 for https://tree.opentreeoflife.org/curator/study/view/ot_629/?tab=trees&tree=tree1			
mrcaott5048904ott5048905				node ott5048904 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1
mrcaott5048904ott5048905	node node25 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1			
mrcaott5048904ott5048905	node node34 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2			
mrcaott5048904ott5048905	node node9 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1			
mrcaott5048904ott5048905	node node9 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1			
mrcaott5048905ott5048920		node node12 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1		
mrcaott5048905ott5048920	node node10 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1			
mrcaott5048905ott5048920	node node29 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1			
mrcaott5048905ott5048920	node node38 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2			
mrcaott5048905ott5048971		node node12 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1		
mrcaott5048905ott5048971	node node14 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1			
mrcaott5048905ott5048971	node node39 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2			
mrcaott5048921ott5048923	node node24 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2			
mrcaott5048921ott5048923	node node28 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1			
mrcaott915952ott5048921				node ott915952 for https://tree.opentreeoflife.org/curator/study/view/ot_612/?tab=trees&tree=tree1
mrcaott915952ott5048921				node ott915952 for https://tree.opentreeoflife.org/curator/study/view/ot_617/?tab=trees&tree=tree1
mrcaott915952ott5048921				node ott915952 for https://tree.opentreeoflife.org/curator/study/view/ot_628/?tab=trees&tree=tree1
mrcaott915952ott5048921	node node20 for https://tree.opentreeoflife.org/curator/study/view/ot_611/?tab=trees&tree=tree1			
mrcaott915952ott5048921	node node21 for https://tree.opentreeoflife.org/curator/study/view/ot_616/?tab=trees&tree=tree2			
ott142445				node ott142444 for https://tree.opentreeoflife.org/curator/study/view/ot_626/?tab=trees&tree=tree1
